battery_power,blue,clock_speed,dual_sim,fc,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,touch_screen,wifi,price_range,combined_g,screen_size,pixel_density
682,True,0.5,False,4.0,19.0,1.0,121.0,4.0,11.0,2337.0,18,True,True,1,2,11.0,87248.0
772,False,1.1,True,12.0,39.0,0.8,81.0,7.0,14.0,2819.0,3,True,False,3,3,22.7,107319.6
1709,True,2.1,False,1.0,13.0,1.0,156.0,2.0,2.0,3283.0,15,False,False,3,3,17.0,79352.4
1949,False,2.6,True,4.0,47.0,0.3,199.0,4.0,7.0,1433.0,20,False,True,1,2,12.1,27649.1
1602,True,2.8,True,4.0,38.0,0.7,114.0,3.0,20.0,1037.0,20,False,False,0,4,10.6,34642.3
503,False,1.2,True,5.0,8.0,0.4,111.0,3.0,13.0,2583.0,12,False,False,1,4,11.0,22749.5
961,True,1.4,True,0.0,57.0,0.6,114.0,8.0,3.0,2782.0,7,True,True,2,4,20.1,20760.9
519,True,1.6,True,7.0,51.0,0.3,132.0,4.0,19.0,3763.0,4,False,True,3,4,16.0,22171.9
956,False,0.5,False,1.0,41.0,1.0,143.0,7.0,6.0,3286.0,12,True,False,3,4,18.8,29219.4
1453,False,1.6,True,12.0,52.0,0.3,96.0,2.0,18.0,2373.0,10,True,True,2,4,10.0,24515.7
851,False,0.5,False,3.0,21.0,0.4,200.0,5.0,7.0,478.0,10,False,True,0,3,13.9,106400.9
1579,True,0.5,True,0.0,5.0,0.2,88.0,7.0,9.0,3532.0,12,False,True,3,2,20.2,116909.0
1568,True,0.5,False,16.0,33.0,1.0,150.0,8.0,20.0,508.0,6,True,True,0,3,5.1,52961.2
1319,True,0.9,False,3.0,41.0,0.9,107.0,1.0,18.0,2227.0,3,True,True,1,4,18.7,5236.4
1310,True,2.2,True,0.0,51.0,0.6,100.0,4.0,0.0,3845.0,12,True,False,3,4,7.0,48797.4
644,True,2.7,False,0.0,22.0,0.7,157.0,8.0,3.0,1262.0,15,False,False,0,3,12.0,22832.6
725,False,1.3,True,16.0,60.0,0.4,160.0,8.0,17.0,1326.0,15,False,False,1,3,10.8,131145.0
589,True,2.3,True,1.0,61.0,0.6,160.0,4.0,10.0,2113.0,2,False,True,1,3,14.8,23624.0
1725,True,1.6,True,6.0,6.0,0.5,119.0,2.0,18.0,3429.0,4,True,False,3,4,7.8,102046.5
790,False,2.0,True,16.0,11.0,0.3,87.0,6.0,17.0,3169.0,2,False,True,2,4,6.1,41526.2
560,False,0.5,True,15.0,50.0,0.3,159.0,2.0,20.0,2150.0,11,True,False,2,3,21.6,108130.7
1347,False,2.9,False,5.0,44.0,0.6,132.0,1.0,14.0,2484.0,11,False,True,2,3,18.1,23186.6
1646,True,2.3,False,8.0,41.0,0.2,185.0,2.0,10.0,3339.0,19,True,False,3,4,20.6,161781.6
1253,True,0.5,True,5.0,5.0,0.2,152.0,2.0,19.0,1878.0,4,True,False,1,4,15.0,32606.0
1656,False,1.0,False,5.0,34.0,0.1,166.0,3.0,7.0,1629.0,14,True,False,1,4,19.2,66733.3
1195,True,2.8,False,1.0,20.0,0.8,110.0,2.0,14.0,504.0,12,True,False,0,4,9.5,274753.7
1514,False,2.9,False,0.0,27.0,0.2,118.0,3.0,1.0,1152.0,20,True,True,1,2,8.5,39607.1
1723,True,1.1,True,1.0,42.0,1.0,164.0,8.0,14.0,3587.0,3,False,False,3,3,11.2,32302.0
1054,True,1.8,True,3.0,40.0,0.8,196.0,7.0,10.0,2296.0,12,False,True,1,4,20.0,1044.9
578,True,2.6,True,2.0,57.0,0.2,162.0,8.0,8.0,1270.0,5,False,True,0,4,15.3,96001.6
596,False,2.1,True,9.0,64.0,0.8,111.0,8.0,15.0,3238.0,10,False,False,3,2,20.6,79650.0
1547,True,3.0,True,2.0,14.0,0.7,198.0,3.0,19.0,2059.0,15,False,True,2,4,5.0,381788.8
1760,False,1.4,True,5.0,63.0,0.8,127.0,8.0,19.0,2053.0,16,True,False,2,2,22.5,84946.9
1654,True,1.5,True,0.0,43.0,0.3,109.0,2.0,0.0,3112.0,10,True,False,3,4,13.0,26418.0
1457,False,1.9,True,1.0,16.0,0.3,102.0,3.0,10.0,1440.0,12,False,True,1,4,18.8,69347.4
1073,True,0.5,True,0.0,51.0,0.5,145.0,7.0,0.0,2908.0,18,True,False,2,2,6.0,92460.0
1936,False,2.1,True,10.0,46.0,0.6,104.0,3.0,20.0,2552.0,13,False,False,2,4,15.7,44013.5
823,True,2.7,True,13.0,60.0,0.5,148.0,8.0,19.0,905.0,17,True,True,0,3,17.8,66914.5
987,False,1.3,True,0.0,61.0,0.4,107.0,3.0,9.0,3963.0,20,False,True,3,4,9.8,48614.3
1757,False,0.5,False,8.0,49.0,0.5,180.0,6.0,14.0,2056.0,4,False,False,1,2,8.6,21970.3
1063,False,1.4,True,2.0,48.0,1.0,128.0,5.0,4.0,2910.0,9,True,True,2,4,19.8,4380.9
1484,False,3.0,False,3.0,12.0,0.6,134.0,3.0,5.0,1457.0,20,True,False,1,3,14.6,60794.8
799,True,2.3,False,1.0,63.0,0.8,144.0,8.0,6.0,431.0,6,True,True,0,4,16.2,21726.9
1156,True,1.2,True,0.0,50.0,0.8,159.0,2.0,0.0,470.0,15,True,False,0,4,7.0,25162.0
1720,False,2.0,False,15.0,55.0,0.5,168.0,2.0,18.0,2148.0,5,True,True,2,4,14.1,72256.0
702,False,2.6,True,2.0,9.0,0.7,141.0,3.0,3.0,2955.0,19,False,False,2,4,10.8,73266.7
616,False,1.9,True,13.0,44.0,0.8,81.0,3.0,17.0,3366.0,13,True,False,3,4,19.7,53467.9
1358,True,0.5,False,11.0,36.0,0.3,155.0,4.0,14.0,3068.0,4,True,False,3,4,9.8,296711.2
1866,False,1.4,False,0.0,30.0,0.5,182.0,3.0,0.0,3834.0,8,False,False,3,2,19.4,9914.8
1242,False,1.1,True,0.0,10.0,0.6,165.0,2.0,1.0,1050.0,4,False,True,0,3,11.0,51115.9
1166,False,1.5,True,0.0,43.0,0.8,80.0,4.0,1.0,3993.0,7,True,False,3,4,7.1,17410.6
1448,True,0.5,True,6.0,45.0,0.8,138.0,7.0,11.0,3378.0,2,True,True,3,4,17.0,57804.7
1407,True,2.4,False,1.0,22.0,0.7,104.0,4.0,4.0,2192.0,13,False,True,2,4,11.4,125116.1
605,False,1.0,False,8.0,9.0,0.1,142.0,3.0,16.0,392.0,4,False,False,0,4,16.2,10133.3
1038,False,1.2,False,3.0,43.0,0.7,141.0,1.0,5.0,3709.0,12,True,True,3,3,11.0,232.0
797,True,2.9,True,4.0,38.0,0.5,90.0,4.0,6.0,590.0,6,True,False,0,2,9.2,117186.8
819,False,0.6,True,8.0,42.0,0.9,188.0,6.0,20.0,1814.0,13,False,True,1,4,6.4,65787.2
1114,False,2.8,False,4.0,9.0,0.4,197.0,3.0,15.0,907.0,17,True,False,0,4,12.2,91298.4
1234,True,1.6,True,1.0,33.0,0.6,172.0,1.0,3.0,1449.0,6,False,True,0,2,13.0,9934.5
1199,True,2.5,True,15.0,16.0,0.2,116.0,4.0,20.0,3448.0,10,False,True,3,4,21.4,84707.3
1103,False,1.0,True,6.0,29.0,0.7,111.0,6.0,8.0,1837.0,16,True,True,1,2,10.6,138786.8
1589,True,0.6,True,0.0,58.0,0.9,85.0,7.0,7.0,3464.0,6,True,True,3,4,21.5,17893.7
999,False,2.9,True,11.0,64.0,0.2,199.0,4.0,19.0,2593.0,16,True,False,2,4,17.8,126828.8
1510,True,0.9,True,2.0,45.0,0.9,180.0,5.0,3.0,3484.0,11,True,True,3,2,10.8,114853.3
1008,False,0.8,False,11.0,61.0,1.0,114.0,3.0,15.0,2009.0,11,False,False,1,3,10.4,116191.7
1127,True,2.9,True,5.0,57.0,0.8,163.0,1.0,13.0,2048.0,17,True,True,1,4,12.1,80452.2
1412,True,2.4,False,5.0,25.0,0.8,96.0,8.0,17.0,837.0,4,False,True,1,2,17.5,55845.9
1496,True,2.0,True,4.0,42.0,0.5,182.0,5.0,5.0,854.0,7,True,True,0,2,16.0,4446.0
1083,True,2.9,True,1.0,64.0,0.8,178.0,3.0,11.0,3210.0,4,False,False,3,4,13.3,86161.7
668,False,0.5,True,0.0,3.0,0.1,155.0,5.0,13.0,2746.0,8,True,True,2,3,10.3,77786.2
1309,False,1.1,True,0.0,33.0,0.5,100.0,4.0,14.0,2334.0,11,False,True,2,3,10.0,78091.4
1724,False,2.0,True,2.0,57.0,0.5,177.0,3.0,5.0,2822.0,16,True,False,3,4,19.2,160834.4
1977,True,2.0,True,7.0,54.0,1.0,171.0,7.0,18.0,1971.0,14,True,False,2,4,19.3,78896.0
885,False,2.3,True,0.0,15.0,0.4,103.0,7.0,0.0,1410.0,5,True,True,0,4,18.9,32631.6
879,True,2.5,False,11.0,14.0,0.7,83.0,6.0,15.0,349.0,2,False,True,0,4,18.9,23561.6
1322,False,1.7,True,6.0,7.0,0.8,140.0,3.0,9.0,1418.0,12,True,False,1,2,25.5,13812.9
1137,True,1.0,False,18.0,7.0,1.0,196.0,3.0,19.0,3616.0,12,True,True,3,3,13.9,79900.6
1355,False,2.3,False,10.0,23.0,0.2,132.0,5.0,16.0,880.0,8,True,False,0,4,19.4,29899.0
1665,True,0.5,False,3.0,60.0,0.2,194.0,6.0,18.0,1601.0,14,False,False,2,4,24.8,106743.9
657,False,2.5,False,0.0,37.0,0.7,141.0,2.0,1.0,1412.0,18,True,False,0,2,14.3,31988.5
593,False,0.5,False,6.0,31.0,0.4,156.0,7.0,7.0,1692.0,7,False,False,1,3,6.3,257755.7
1883,True,0.5,False,3.0,10.0,0.3,146.0,6.0,13.0,2600.0,20,False,False,3,4,17.9,81218.1
1732,True,1.1,False,4.0,12.0,0.8,119.0,8.0,9.0,1308.0,11,False,True,1,4,17.5,41482.5
543,False,0.5,False,0.0,57.0,0.7,192.0,5.0,4.0,2413.0,15,False,False,1,3,22.0,17488.4
1939,True,2.8,True,0.0,55.0,0.6,199.0,4.0,10.0,1047.0,18,True,False,0,4,17.2,9674.4
553,False,2.4,True,1.0,8.0,0.5,121.0,7.0,3.0,1204.0,8,True,True,0,4,11.7,25055.6
832,False,0.7,True,2.0,39.0,0.7,103.0,4.0,3.0,1799.0,11,False,True,1,4,5.4,34814.8
1661,False,1.9,True,5.0,23.0,1.0,172.0,5.0,10.0,2676.0,11,True,True,3,2,13.4,103161.5
1657,True,2.4,False,3.0,42.0,0.1,198.0,5.0,16.0,2597.0,14,False,False,3,3,18.0,176606.7
1135,True,2.0,True,0.0,46.0,0.3,83.0,1.0,4.0,3029.0,9,True,True,3,3,25.5,21210.9
1775,True,1.5,False,3.0,41.0,0.1,163.0,1.0,7.0,2343.0,14,True,True,3,3,23.0,132699.0
783,False,1.8,True,0.0,43.0,1.0,106.0,3.0,4.0,2016.0,18,True,False,1,4,16.5,106803.5
617,True,2.3,False,0.0,32.0,0.5,199.0,7.0,20.0,2213.0,7,False,False,1,2,22.2,30235.7
867,False,1.4,True,0.0,4.0,0.7,135.0,6.0,1.0,790.0,3,True,False,0,4,14.3,9662.9
1310,True,1.1,True,13.0,7.0,1.0,194.0,5.0,14.0,3182.0,5,True,False,2,3,8.9,6743.9
1804,False,0.5,False,9.0,22.0,0.6,153.0,7.0,19.0,3472.0,20,False,True,3,4,9.1,158302.4
1900,True,2.3,False,1.0,18.0,0.2,89.0,7.0,9.0,2871.0,13,True,True,3,4,12.0,146029.6
909,True,1.4,False,0.0,53.0,0.3,82.0,8.0,0.0,3187.0,4,False,False,2,3,15.0,41190.3
1084,True,2.6,False,3.0,40.0,0.9,107.0,3.0,11.0,1945.0,10,True,False,1,4,15.5,16016.9
1308,False,1.3,True,8.0,46.0,0.9,199.0,1.0,12.0,488.0,9,True,False,0,2,5.8,46892.2
1778,False,0.5,False,0.0,15.0,0.5,102.0,3.0,0.0,1214.0,14,False,False,1,3,5.0,564706.0
1701,True,1.6,True,3.0,10.0,0.3,194.0,8.0,7.0,2598.0,6,True,False,2,2,15.0,49060.0
772,True,2.4,True,1.0,10.0,0.5,80.0,4.0,2.0,3242.0,4,True,False,3,4,21.1,100772.7
825,True,0.5,True,7.0,52.0,0.9,130.0,3.0,10.0,3534.0,6,True,False,3,2,10.8,47704.7
1379,False,1.1,False,5.0,36.0,0.8,200.0,2.0,7.0,3426.0,17,True,True,3,4,6.4,115670.0
1166,False,2.0,False,3.0,25.0,0.8,198.0,5.0,4.0,2488.0,15,False,False,2,4,13.9,5106.3
1659,False,2.8,False,5.0,16.0,0.6,89.0,1.0,20.0,3255.0,9,False,True,3,2,23.6,31302.5
826,True,2.4,True,0.0,58.0,0.3,88.0,4.0,1.0,2863.0,18,False,True,2,4,9.5,14809.9
1564,False,2.3,False,4.0,25.0,0.5,189.0,6.0,17.0,1496.0,7,True,True,1,4,7.2,343602.1
1957,False,0.9,True,11.0,31.0,0.6,181.0,3.0,16.0,3801.0,7,False,True,3,3,12.0,57156.0
1571,False,1.4,False,0.0,19.0,0.1,100.0,6.0,1.0,666.0,13,True,False,0,4,15.6,63895.8
1414,False,2.0,True,2.0,54.0,0.8,99.0,7.0,3.0,3799.0,7,False,True,3,3,18.4,11804.2
1790,False,2.5,True,9.0,2.0,0.1,184.0,1.0,14.0,1366.0,20,True,True,1,3,7.0,70374.9
645,False,0.5,False,1.0,41.0,1.0,197.0,7.0,10.0,2962.0,4,True,True,2,3,15.0,12644.0
668,False,2.9,True,7.0,30.0,0.2,195.0,8.0,12.0,2399.0,7,True,True,1,3,11.2,49217.1
1652,True,1.1,True,1.0,36.0,0.7,89.0,4.0,5.0,2338.0,20,False,False,2,2,14.4,27474.4
1213,True,0.5,False,0.0,16.0,0.5,108.0,5.0,0.0,2700.0,9,False,True,2,2,12.4,22745.8
1272,True,2.5,True,0.0,22.0,0.9,133.0,6.0,8.0,2235.0,4,False,False,1,3,19.4,20863.1
866,False,0.5,True,5.0,46.0,0.5,179.0,8.0,7.0,3825.0,2,True,True,3,4,16.3,71577.4
536,False,2.4,True,12.0,3.0,0.3,182.0,7.0,14.0,284.0,4,True,False,0,4,15.0,142203.6
523,False,2.6,True,1.0,14.0,0.1,155.0,8.0,2.0,1427.0,9,True,False,0,2,9.1,34809.7
1753,False,0.5,True,0.0,31.0,0.1,134.0,1.0,18.0,1324.0,17,False,True,2,4,17.0,180137.6
1218,False,1.8,True,1.0,14.0,0.5,147.0,3.0,4.0,398.0,5,False,False,0,4,17.0,8297.9
1537,True,2.5,False,4.0,43.0,0.3,137.0,1.0,5.0,3685.0,17,True,True,3,4,24.8,38262.5
786,False,2.2,True,0.0,33.0,0.5,141.0,7.0,6.0,2390.0,5,False,True,2,3,16.3,52784.0
1678,False,2.1,False,3.0,64.0,0.9,134.0,3.0,11.0,278.0,10,True,False,0,4,19.0,12299.8
1814,False,1.4,True,1.0,9.0,0.4,141.0,2.0,2.0,3556.0,16,False,False,3,4,21.6,27510.0
1101,False,1.8,False,0.0,31.0,0.2,148.0,2.0,7.0,2196.0,19,True,True,1,2,13.4,36649.5
1461,False,2.4,True,3.0,40.0,0.5,141.0,7.0,4.0,3799.0,4,False,False,3,4,16.0,102623.1
1216,False,3.0,False,4.0,47.0,0.4,199.0,3.0,7.0,2268.0,4,True,True,2,2,13.9,262078.0
506,False,1.6,False,6.0,41.0,0.8,159.0,1.0,7.0,2965.0,15,False,False,2,4,16.4,54687.5
843,True,0.5,False,1.0,56.0,0.1,147.0,5.0,17.0,2341.0,20,True,True,1,4,10.0,11200.0
742,False,2.2,True,4.0,56.0,0.2,190.0,7.0,14.0,3557.0,12,True,True,3,2,19.4,40419.7
1692,True,2.1,False,3.0,61.0,0.9,176.0,6.0,12.0,1354.0,19,False,False,1,4,17.5,111205.7
1485,False,1.0,False,2.0,32.0,0.7,84.0,2.0,9.0,2147.0,11,True,False,2,4,19.0,27191.1
1547,False,2.9,True,6.0,45.0,0.7,166.0,2.0,8.0,505.0,3,True,True,0,2,12.2,28194.3
1692,False,2.3,True,4.0,46.0,0.9,139.0,1.0,6.0,1394.0,6,True,False,1,4,18.9,68648.1
637,False,2.3,False,3.0,60.0,0.8,97.0,4.0,4.0,374.0,8,False,True,0,4,18.4,121610.1
1840,False,0.5,True,12.0,34.0,0.7,142.0,1.0,16.0,1078.0,10,False,False,1,2,8.0,60061.9
1481,True,0.7,True,4.0,37.0,0.6,96.0,5.0,13.0,2945.0,16,True,True,2,4,11.2,15877.5
961,True,1.5,True,10.0,51.0,0.3,152.0,6.0,16.0,2981.0,7,True,True,2,3,16.2,21236.7
1296,False,0.9,True,0.0,14.0,0.5,124.0,5.0,3.0,490.0,4,True,True,0,4,7.1,145294.6
1193,False,0.9,False,11.0,26.0,0.5,166.0,1.0,20.0,536.0,4,False,True,0,3,22.0,57371.4
1441,False,2.1,True,11.0,3.0,0.1,118.0,8.0,17.0,2317.0,7,False,True,2,4,16.5,37452.5
517,False,1.4,True,3.0,33.0,0.8,183.0,4.0,8.0,3704.0,11,False,True,3,4,23.3,27589.7
748,True,1.7,False,0.0,27.0,0.9,150.0,8.0,4.0,2126.0,7,False,False,1,4,20.1,34791.0
1126,True,2.4,False,2.0,10.0,0.4,160.0,6.0,3.0,2050.0,12,True,True,2,4,9.2,214157.9
1572,False,0.6,False,0.0,58.0,0.2,157.0,7.0,8.0,2462.0,10,False,False,3,4,14.4,149175.9
1569,False,2.8,True,17.0,44.0,0.3,110.0,4.0,20.0,1260.0,17,False,False,1,3,9.2,9498.9
1270,True,0.6,True,2.0,32.0,0.5,101.0,7.0,6.0,3770.0,13,True,False,3,4,5.8,43561.2
1854,False,3.0,False,2.0,8.0,0.1,101.0,5.0,5.0,1886.0,20,True,False,1,4,17.5,18129.3
625,True,1.2,True,5.0,10.0,0.2,183.0,4.0,8.0,3323.0,7,True,True,2,4,9.1,58754.9
1577,False,0.5,True,0.0,42.0,0.3,197.0,5.0,4.0,2060.0,12,False,False,2,4,19.9,91214.3
534,False,0.5,True,0.0,16.0,1.0,189.0,5.0,1.0,3926.0,20,False,False,3,4,20.0,23560.4
946,False,1.7,True,8.0,25.0,0.8,143.0,6.0,15.0,2177.0,13,True,True,2,4,8.6,131511.6
685,False,0.5,False,2.0,29.0,0.8,93.0,7.0,10.0,728.0,4,False,True,0,2,16.1,17427.6
1949,False,1.3,True,0.0,23.0,0.1,101.0,5.0,1.0,2478.0,20,False,False,3,3,16.1,59199.0
947,False,0.8,True,0.0,22.0,0.1,197.0,2.0,13.0,2842.0,2,False,False,2,4,20.0,71736.0
801,True,2.2,True,2.0,63.0,0.4,165.0,7.0,4.0,1617.0,19,False,True,1,2,17.5,32648.6
703,True,2.7,False,12.0,30.0,0.3,113.0,1.0,20.0,1472.0,7,False,False,0,4,15.7,14787.9
1165,True,2.4,False,11.0,41.0,0.2,178.0,6.0,12.0,764.0,15,False,False,0,3,22.5,20830.4
1082,False,0.8,False,0.0,38.0,0.1,198.0,8.0,5.0,2337.0,17,True,True,2,2,6.1,192512.5
959,True,2.6,True,15.0,20.0,1.0,84.0,4.0,19.0,3965.0,6,False,False,3,3,16.0,57186.9
1502,True,1.2,False,0.0,54.0,0.2,138.0,5.0,12.0,3693.0,16,True,False,3,3,22.0,1737.3
1380,True,2.1,True,1.0,4.0,0.8,92.0,3.0,13.0,797.0,15,True,False,0,4,13.2,15909.1
1266,False,0.5,False,0.0,5.0,0.1,95.0,6.0,9.0,1687.0,18,False,False,2,4,11.0,210706.4
1934,True,2.6,True,0.0,46.0,0.1,103.0,1.0,17.0,2940.0,2,True,True,3,4,15.8,50891.2
1905,True,0.5,False,3.0,6.0,0.5,151.0,1.0,5.0,1545.0,10,True,False,1,4,10.3,74019.6
1831,False,1.4,True,2.0,43.0,0.9,150.0,5.0,5.0,3834.0,13,True,True,3,3,18.4,45858.2
596,False,1.4,False,8.0,46.0,0.6,165.0,1.0,18.0,2505.0,15,True,False,1,3,15.5,60500.1
1562,True,1.3,True,1.0,7.0,0.2,190.0,5.0,15.0,2243.0,6,False,False,2,4,15.6,63088.8
1490,True,0.5,True,4.0,64.0,0.3,150.0,8.0,8.0,3600.0,7,True,True,3,4,19.2,108046.2
1523,True,2.4,False,5.0,57.0,0.2,117.0,2.0,6.0,3971.0,10,True,True,3,4,21.6,6163.6
640,False,0.6,False,0.0,20.0,0.1,163.0,4.0,15.0,2844.0,18,True,False,2,3,8.6,97336.0
1526,False,2.1,False,1.0,23.0,0.2,117.0,7.0,8.0,2227.0,3,True,False,2,4,20.6,26175.6
1989,False,2.5,True,0.0,41.0,0.8,94.0,3.0,13.0,1665.0,12,True,True,2,4,19.2,85765.6
1308,False,1.9,False,0.0,61.0,0.7,106.0,3.0,7.0,3355.0,4,False,True,3,4,15.1,4747.4
609,False,0.5,False,3.0,26.0,0.3,93.0,4.0,4.0,1866.0,14,True,True,1,3,14.9,122632.5
1905,False,0.6,True,9.0,36.0,0.4,119.0,3.0,20.0,1287.0,16,False,False,1,4,13.6,93540.4
1703,True,0.5,False,0.0,22.0,0.6,192.0,1.0,0.0,1046.0,13,False,True,0,4,6.4,55189.1
1445,True,2.4,True,7.0,20.0,0.4,173.0,7.0,15.0,1441.0,13,True,True,1,4,8.1,211380.9
1087,False,1.3,False,0.0,16.0,0.3,166.0,3.0,9.0,690.0,6,False,True,0,4,15.2,11431.2
671,False,0.9,True,10.0,30.0,0.7,105.0,7.0,17.0,2504.0,15,False,False,2,3,7.2,139870.0
1472,True,2.3,False,6.0,61.0,0.1,168.0,6.0,19.0,2677.0,8,False,False,2,3,24.2,30864.5
765,False,0.5,True,0.0,47.0,0.3,115.0,8.0,1.0,2243.0,4,False,True,2,4,13.0,140371.8
1642,False,0.5,True,16.0,8.0,0.3,171.0,6.0,17.0,2984.0,17,False,True,2,4,13.6,8280.7
1265,False,1.5,False,7.0,49.0,0.7,182.0,5.0,16.0,1362.0,12,False,True,1,2,5.0,115368.0
664,True,1.1,True,1.0,51.0,0.1,110.0,7.0,4.0,3629.0,6,True,True,3,4,24.2,42813.1
1277,True,0.5,True,0.0,35.0,0.4,142.0,6.0,6.0,3559.0,6,True,False,3,4,24.8,18191.1
1395,False,1.8,True,0.0,23.0,0.1,111.0,3.0,1.0,2571.0,13,False,True,2,3,11.0,13651.4
1539,True,2.6,False,0.0,41.0,0.1,159.0,8.0,0.0,2107.0,10,False,True,2,3,17.5,105862.4
1049,True,2.2,False,9.0,63.0,0.5,135.0,5.0,17.0,1022.0,13,False,False,0,2,11.4,18800.3
1827,False,1.7,False,4.0,39.0,0.5,128.0,5.0,16.0,2844.0,10,True,False,2,4,16.6,3379.5
903,False,1.0,True,0.0,50.0,0.4,91.0,1.0,0.0,711.0,10,True,False,0,4,10.3,147480.6
1987,True,0.5,False,3.0,53.0,1.0,181.0,3.0,7.0,3117.0,8,True,True,3,4,18.7,85285.1
1154,False,1.2,True,0.0,49.0,0.2,181.0,8.0,2.0,978.0,7,False,True,0,4,5.8,139820.5
1886,False,0.5,False,0.0,24.0,0.4,112.0,3.0,1.0,1179.0,20,False,True,1,4,17.5,90515.5
1551,False,1.1,False,4.0,51.0,0.1,88.0,5.0,6.0,3844.0,4,True,False,3,2,13.6,254949.3
850,True,1.6,True,6.0,29.0,0.5,133.0,5.0,19.0,593.0,10,False,True,0,4,25.5,10171.3
660,False,0.5,False,5.0,40.0,0.5,111.0,2.0,10.0,588.0,18,True,True,0,4,7.8,39568.7
1225,True,2.1,True,8.0,13.0,0.5,116.0,4.0,12.0,3836.0,11,False,False,3,2,16.3,65376.4
1452,True,0.5,True,1.0,25.0,0.9,123.0,6.0,11.0,2669.0,13,False,False,2,4,15.6,2800.0
1686,True,2.8,True,3.0,38.0,0.1,166.0,4.0,4.0,2958.0,2,False,False,3,2,17.8,32406.8
1634,True,1.4,False,1.0,17.0,0.2,200.0,2.0,5.0,3031.0,6,True,True,3,4,12.5,129330.2
1708,True,2.4,True,18.0,49.0,0.1,109.0,1.0,19.0,3388.0,16,True,True,3,4,7.2,16730.7
1151,True,2.9,True,0.0,31.0,0.6,128.0,8.0,1.0,2377.0,13,True,False,2,2,19.7,80929.9
1578,False,1.9,True,2.0,37.0,0.1,138.0,4.0,19.0,2458.0,3,False,True,2,4,24.8,20318.0
1689,False,1.8,False,17.0,24.0,0.3,127.0,3.0,18.0,2766.0,7,True,True,3,2,7.3,156821.9
1488,False,0.5,False,1.0,39.0,0.8,112.0,5.0,6.0,3054.0,19,False,False,3,2,17.2,146314.9
1313,True,1.8,True,4.0,9.0,0.4,105.0,1.0,6.0,3791.0,6,True,True,3,2,14.9,36518.7
1715,False,1.0,True,4.0,31.0,0.5,83.0,8.0,17.0,625.0,13,False,False,0,4,18.0,57242.8
1442,False,1.0,True,0.0,27.0,0.1,192.0,3.0,19.0,2227.0,20,True,False,1,3,7.8,20345.8
528,False,1.7,False,12.0,6.0,0.8,142.0,2.0,15.0,3256.0,6,True,False,2,4,12.0,30469.8
1523,True,1.8,False,6.0,11.0,0.1,129.0,1.0,8.0,707.0,19,True,False,0,4,20.6,11538.3
1133,False,1.4,False,3.0,42.0,0.1,199.0,5.0,12.0,1457.0,20,False,True,1,3,21.6,52147.7
1718,True,2.5,True,14.0,6.0,0.1,183.0,5.0,16.0,3755.0,8,True,True,3,4,7.1,77847.9
1330,False,0.5,False,0.0,38.0,1.0,183.0,7.0,1.0,1733.0,11,False,True,1,3,9.0,206543.3
